Name,Name2,ra_deg,dec_deg,dist,dist_err,vlos,vlos_err,pmra,pmra_err,pmdec_err,pmcorr,Age,Age_err,Fe_H,Fe_H_err,Mass
47Tuc,NGC104,6.023792,-72.081306,4.52,0.03,-17.45,2.0,5.259,0.025,0.025,-0.0,11.6,2.0,-0.72,0.08,895000.0
NGC288,-,13.1885,-26.582611,8.99,0.09,-44.45,2.0,4.157,0.025,0.025,0.012,11.5,2.0,-1.35,0.04,93400.0
NGC362,-,15.809416,-70.848778,8.83,0.1,223.12,2.0,6.685,0.025,0.025,-0.002,10.75,1.25,-1.31,0.05,284000.0
Whiting1,-,30.737499,-3.252778,30.59,1.17,-130.41,2.0,-0.245,0.053,0.045,0.041,6.5,0.75,-0.65,nan,1970.0
NGC1261,-,48.067543,-55.216225,16.4,0.19,71.34,2.0,1.605,0.025,0.025,-0.001,10.75,1.25,-1.28,0.06,182000.0
Pal1,-,53.3335,79.581055,11.18,0.32,-75.72,2.0,-0.255,0.033,0.035,0.069,7.3,1.15,-0.7,nan,1030.0
AM1,-,58.759586,-49.615276,118.91,3.4,118.0,14.14,0.412,0.064,0.078,-0.175,11.1,0.56,-1.48,nan,19200.0
Eridanus,-,66.185608,-21.186781,84.68,2.89,-23.15,2.0,0.527,0.035,0.038,-0.129,9.7,0.84,-1.47,0.12,11600.0
Pal2,-,71.52462,31.3815,26.17,1.28,-135.97,2.0,1.044,0.032,0.03,0.039,13.25,0.12,-1.58,0.08,140000.0
NGC1851,-,78.52816,-40.046555,11.95,0.13,321.4,2.0,2.139,0.025,0.025,-0.004,10.0,0.5,-1.17,0.08,318000.0
M79,NGC1904,81.045837,-24.524416,13.08,0.18,205.76,2.0,2.468,0.025,0.025,0.001,11.7,1.3,-1.58,0.12,139000.0
NGC2298,-,102.247543,-36.005306,9.83,0.17,147.15,2.0,3.315,0.026,0.026,0.002,12.9,1.5,-1.95,0.04,55800.0
NGC2419,-,114.535286,38.881944,88.47,2.4,-21.1,2.0,-0.002,0.027,0.026,0.012,12.65,0.71,-2.07,nan,971000.0
Ko2,-,119.571,26.255,34.7,1.7350000000000003,70.0,90.0,-0.501,0.139,0.089,0.082,nan,nan,nan,nan,nan
Pyxis,-,136.9869,-37.2266,36.53,0.66,40.46,2.0,1.023,0.031,0.033,0.028,11.5,1.0,-1.34,0.13,24600.0
NGC2808,-,138.012909,-64.863495,10.06,0.11,103.57,2.0,0.995,0.025,0.025,-0.001,10.9,0.4,-1.01,0.11,864000.0
E3,ESO371,140.237793,-77.281891,7.88,0.25,11.71,2.0,-2.72,0.027,0.027,0.001,12.8,1.41,-0.83,nan,2890.0
Pal3,-,151.381622,0.071667,94.84,3.23,94.04,2.0,0.085,0.055,0.065,-0.401,10.5,0.7,-1.67,0.12,18900.0
NGC3201,-,154.403427,-46.412476,4.74,0.04,493.65,2.0,8.351,0.023,0.023,0.001,10.2,0.4,-1.59,0.2,160000.0
ESO93,-,169.924583,-65.219722,13.7,0.685,86.0,10.0,-4.057,0.029,0.029,0.035,nan,nan,nan,nan,nan
Pal4,-,172.318329,28.973373,101.39,2.57,72.4,2.0,-0.175,0.036,0.035,-0.142,10.2,0.84,-1.36,0.14,12900.0
Crater,Laevens1,174.06875,-10.876972,147.23,4.27,148.1,2.0,-0.024,0.117,0.099,-0.25,7.5,0.4,-1.66,0.04,10800.0
Bliss1,-,177.511,-41.772,23.7,1.185,230.0,120.0,-2.344,0.035,0.035,-0.03,9.2,1.2000000000000002,-1.4,nan,143.0
Ko1,-,179.827,12.26,48.3,2.415,90.0,110.0,-1.518,0.117,0.09,-0.202,nan,nan,nan,nan,nan
NGC4147,-,182.52626,18.542639,18.54,0.21,179.35,2.0,-1.707,0.027,0.027,-0.023,12.25,1.25,-1.81,0.06,39000.0
NGC4372,-,186.439101,-72.659084,5.71,0.21,75.59,2.0,-6.41,0.024,0.024,0.001,12.54,0.9,-2.2,0.05,198000.0
Rup106,-,189.6675,-51.150278,20.71,0.36,-38.36,2.0,-1.256,0.026,0.026,0.016,10.85,0.74,-1.66,0.12,34200.0
