Name,m_Mv, m_Mv_Err,Age,Age_Err,Fe_H
NGC104,13.56,0.20,11.6,2.0,-0.76
NGC288,14.91,0.15,11.5,2.0,-1.32
NGC2298,15.61,0.11,12.9,1.5,-1.96
NGC4590,15.38,0.10,12.5,1.3,-2.27
NGC5024,16.58,0.11,13.1,1.3,-2.06
NGC5053,16.31,0.10,13.2,1.3,-2.3
NGC5272,15.18,0.14,11.3,1.8,-1.5
NGC5466,16.16,0.10,13.4,1.3,-2.31
NGC5904,14.57,0.15,10.8,2.0,-1.33
NGC6101,16.06,0.11,13.6,1.5,-1.98
NGC6205,14.55,0.13,12.2,1.7,-1.58
NGC6341,14.84,0.12,13.1,1.5,-2.35
NGC6362,14.76,0.19,11.4,2.0,-1.07
NGC6541,15.00,0.12,12.4,1.5,-1.82
NGC6584,16.16,0.13,11.6,1.7,-1.50
NGC6652,15.27,0.19,11.4,2.0,-0.76
NGC6681,15.27,0.13,12.7,1.7,-1.62
NGC6723,14.86,0.20,11.9,2.0,-1.10
NGC6752,13.37,0.13,12.6,1.7,-1.55
NGC6809,14.19,0.11,11.4,1.4,-1.93
NGC7078,15.69,0.10,12.6,1.3,-2.33
NGC7099,14.88,0.11,12.7,1.3,-2.33
