NGC,Name,Met,Age,Age_Err,Mv
NGC104,47Tuc,-0.76,11.75,0.25,-9.42
NGC288,,-1.32,11.50,0.38,-6.75
NGC362,,-1.30,10.75,0.25,-8.43
NGC1261,,-1.27,10.75,0.25,-7.80
NGC1851,,-1.18,11.00,0.25,-8.33
NGC2808,,-1.18,11.00,0.38,-9.39
NGC3201,,-1.51,11.50,0.38,-7.45
NGC4147,,-1.78,12.25,0.25,-6.17
NGC4590,M68,-2.27,12.00,0.25,-7.37
NGC4833,,-1.89,12.50,0.50,-8.17
NGC5024,M53,-2.06,12.25,0.25,-8.71
NGC5053,,-2.30,12.25,0.38,-6.76
NGC5272,M3,-1.50,11.75,0.25,-8.88
NGC5286,,-1.70,12.50,0.38,-8.74
NGC5466,,-2.31,12.50,0.25,-6.98
NGC5904,M5,-1.33,11.50,0.25,-8.81
NGC5927,,-0.29,10.75,0.38,-7.81
NGC5986,,-1.63,12.25,0.75,-8.44
NGC6101,,-1.98,12.25,0.50,-6.94
NGC6121,M4,-1.18,11.50,0.38,-7.19
NGC6144,,-1.82,12.75,0.50,-6.85
NGC6171,M107,-1.03,12.00,0.75,-7.12
NGC6205,M13,-1.58,12.00,0.38,-8.56
NGC6218,M12,-1.33,13.00,0.50,-7.31
NGC6254,M10,-1.57,11.75,0.38,-7.48
NGC6304,,-0.37,11.25,0.38,-7.30
NGC6341,M92,-2.35,12.75,0.25,-8.21
NGC6352,,-0.62,10.75,0.38,-6.47
NGC6362,,-1.07,12.50,0.25,-6.95
NGC6366,,-0.59,11.00,0.50,-5.74
NGC6397,,-1.99,13.00,0.25,-6.64
NGC6496,,-0.46,10.75,0.38,-7.20
NGC6535,,-1.79,12.75,0.50,-4.75
NGC6541,,-1.82,12.50,0.50,-8.52
NGC6584,,-1.50,11.75,0.25,-7.69
NGC6624,,-0.42,11.25,0.50,-7.49
NGC6637,M69,-0.59,11.00,0.38,-7.64
NGC6652,,-0.76,11.25,0.25,-6.66
NGC6656,M22,-1.70,12.50,0.50,-8.50
NGC6681,M70,-1.62,12.75,0.38,-7.12
NGC6715,M54,-1.44,11.75,0.50,-9.98
NGC6717,,-1.26,12.50,0.50,-5.66
NGC6723,,-1.10,12.50,0.25,-7.83
NGC6752,,-1.55,12.50,0.25,-7.73
NGC6779,M56,-2.00,12.75,0.50,-7.41
NGC6809,M55,-1.93,13.00,0.25,-7.57
NGC6838,M71,-0.82,11.00,0.38,-5.61
NGC6934,,-1.56,11.75,0.25,-7.45
NGC6981,M72,-1.48,11.50,0.25,-7.04
NGC7078,M15,-2.33,12.75,0.25,-9.19
NGC7089,M2,-1.66,11.75,0.25,-9.03
NGC7099,M30,-2.33,13.00,0.25,-7.45
,Arp2,-1.74,12.00,0.38,-5.29
,Pal12,-0.81,9.0,0.38,-4.47
,Ter8,-2.34,13.00,0.38,-5.07
