Name, AltName, Ungrouped, Bulge, GEn, Disc, Kraken, Helmi, Sag, Seq 
NGC104, 47Tuc, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000  
NGC288, -, 0.001, 0.000, 0.999, 0.000, 0.000, 0.000, 0.000, 0.000  
NGC362, -, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000  
Whiting1, -, 0.003, 0.000, 0.000, 0.000, 0.000, 0.000, 0.997, 0.000  
NGC1261, -, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000  
Pal1, -, 0.999, 0.000, 0.000, 0.001, 0.000, 0.000, 0.000, 0.000  
AM1, -, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000  
Eridanus, -, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000  
Pal2, -, 0.819, 0.000, 0.000, 0.000, 0.000, 0.049, 0.000, 0.132  
NGC1851, -, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000  
NGC1904, M79, 0.001, 0.000, 0.370, 0.000, 0.000, 0.629, 0.000, 0.000  
NGC2298, -, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000  
NGC2419, -, 0.983, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.017  
Ko2, -, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000  
Pyxis, -, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000  
NGC2808, -, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000  
E3, -, 0.060, 0.000, 0.000, 0.940, 0.000, 0.000, 0.000, 0.000  
Pal3, -, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000  
NGC3201, -, 0.003, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.997  
ESO93, -, 0.001, 0.000, 0.000, 0.999, 0.000, 0.000, 0.000, 0.000  
Pal4, -, 0.998, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.002  
Crater, -, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000  
Bliss1, -, 0.113, 0.000, 0.006, 0.000, 0.000, 0.881, 0.000, 0.000  
Ko1, -, 0.531, 0.000, 0.000, 0.000, 0.000, 0.000, 0.469, 0.000  
NGC4147, -, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000  
NGC4372, -, 0.000, 0.000, 0.050, 0.031, 0.919, 0.000, 0.000, 0.000  
Rup106, -, 0.048, 0.000, 0.000, 0.000, 0.000, 0.952, 0.000, 0.000  
NGC4590, M68, 0.003, 0.000, 0.000, 0.000, 0.000, 0.997, 0.000, 0.000  
BH140, -, 0.002, 0.000, 0.947, 0.036, 0.015, 0.000, 0.000, 0.000  
NGC4833, -, 0.000, 0.000, 0.003, 0.000, 0.997, 0.000, 0.000, 0.000  
NGC5024, M53, 0.001, 0.000, 0.000, 0.000, 0.000, 0.999, 0.000, 0.000  
NGC5053, -, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000  
Kim3, -, 0.075, 0.000, 0.000, 0.000, 0.000, 0.000, 0.924, 0.001  
NGC5139, oCen, 0.003, 0.000, 0.997, 0.000, 0.000, 0.000, 0.000, 0.000  
NGC5272, M3, 0.001, 0.000, 0.000, 0.000, 0.000, 0.999, 0.000, 0.000  
NGC5286, -, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000  
AM4, -, 0.146, 0.000, 0.000, 0.000, 0.000, 0.017, 0.000, 0.837  
NGC5466, -, 0.001, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.999  
NGC5634, -, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000  
NGC5694, -, 0.021, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.979  
IC4499, -, 0.003, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.997  
Munoz1, -, 0.028, 0.000, 0.000, 0.000, 0.000, 0.000, 0.972, 0.000  
NGC5824, -, 0.005, 0.000, 0.000, 0.000, 0.000, 0.000, 0.995, 0.000  
Pal5, -, 0.001, 0.000, 0.000, 0.000, 0.000, 0.999, 0.000, 0.000  
NGC5897, -, 0.001, 0.000, 0.998, 0.001, 0.000, 0.000, 0.000, 0.000  
NGC5904, M5, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000  
NGC5927, -, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000  
NGC5946, -, 0.000, 0.003, 0.000, 0.000, 0.997, 0.000, 0.000, 0.000  
BH176, -, 0.003, 0.000, 0.000, 0.997, 0.000, 0.000, 0.000, 0.000  
NGC5986, -, 0.000, 0.002, 0.000, 0.000, 0.998, 0.000, 0.000, 0.000  
FSR1716, -, 0.000, 0.000, 0.000, 0.042, 0.958, 0.000, 0.000, 0.000  
Pal14, -, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000  
Lynga7, BH184, 0.003, 0.025, 0.000, 0.973, 0.000, 0.000, 0.000, 0.000  
NGC6093, M80, 0.000, 0.051, 0.000, 0.286, 0.663, 0.000, 0.000, 0.000  
Ryu059, RLGC1, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000  
NGC6121, M4, 0.000, 0.006, 0.000, 0.000, 0.994, 0.000, 0.000, 0.000  
NGC6101, -, 0.002, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.998  
NGC6144, -, 0.006, 0.047, 0.000, 0.946, 0.000, 0.000, 0.000, 0.000  
NGC6139, -, 0.000, 0.008, 0.000, 0.012, 0.980, 0.000, 0.000, 0.000  
Terzan3, -, 0.000, 0.001, 0.000, 0.035, 0.964, 0.000, 0.000, 0.000  
NGC6171, M107, 0.000, 0.069, 0.000, 0.931, 0.000, 0.000, 0.000, 0.000  
1636-283, ESO452, 0.000, 0.941, 0.000, 0.058, 0.000, 0.000, 0.000, 0.000  
NGC6205, M13, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000  
NGC6229, -, 0.002, 0.000, 0.000, 0.000, 0.000, 0.998, 0.000, 0.000  
NGC6218, M12, 0.000, 0.000, 0.000, 0.991, 0.008, 0.000, 0.000, 0.000  
FSR1735, -, 0.000, 0.004, 0.000, 0.012, 0.984, 0.000, 0.000, 0.000  
NGC6235, -, 0.000, 0.000, 0.952, 0.000, 0.047, 0.000, 0.000, 0.000  
NGC6254, M10, 0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000  
NGC6256, -, 0.000, 0.324, 0.000, 0.676, 0.000, 0.000, 0.000, 0.000  
Pal15, -, 0.045, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.955  
NGC6266, M62, 0.000, 0.884, 0.000, 0.116, 0.000, 0.000, 0.000, 0.000  
